Organism	Kingdom	Group	SubGroup	Size(Mb)	GC%	Genes	Proteins
Fusarium sp. FSSC_6	Eukaryota	Fungi	Ascomycetes	46.941	51.8	0	0
Naumovozyma dairenensis	Eukaryota	Fungi	Ascomycetes	13.9858	33.4	0	0
Dufourea novaeangliae	Eukaryota	Animals	Insects	279.506	39.6	10184	12157
Thlaspi arvense	Eukaryota	Plants	Land Plants	343.012	38.5	0	0
Cryptosporidium andersoni	Eukaryota	Protists	Apicomplexans	9.08856	28.5	3897	3876
Cystobasidium pallidum	Eukaryota	Fungi	Basidiomycetes	21.7214	49.7	0	0
Cyprinus carpio	Eukaryota	Animals	Fishes	1380.1	36.9	50485	50486
Leishmania gerbilli	Eukaryota	Protists	Kinetoplasts	31.3986	59.6	0	0
Talaromyces piceae	Eukaryota	Fungi	Ascomycetes	26.5643	49.2	0	0
Fusarium nygamai	Eukaryota	Fungi	Ascomycetes	51.615	47.5	0	0
Melitaea cinxia	Eukaryota	Animals	Insects	389.908	33.6995	0	0
Fragaria nubicola	Eukaryota	Plants	Land Plants	203.686	38.2	0	0
Babesia microti	Eukaryota	Protists	Apicomplexans	6.63	36.5	0	0
Mycosphaerella arachidis	Eukaryota	Fungi	Ascomycetes	33.2454	52.4	0	0
Tarenaya hassleriana	Eukaryota	Plants	Land Plants	249.93	40.5	30100	41094
Steganacarus magnus	Eukaryota	Animals	Other Animals	113.565	29.2	0	0
Cucumis sativus	Eukaryota	Plants	Land Plants	278.149	35	0	0
Rhynchosporium agropyri	Eukaryota	Fungi	Ascomycetes	52.4771	42.9	13808	13673
Glossina austeni	Eukaryota	Animals	Insects	370.265	34.7	0	0
Fragaria orientalis	Eukaryota	Plants	Land Plants	214.184	38.1	0	0
Orchesella cincta	Eukaryota	Animals	Insects	286.767	36.8	20247	20247
Ciborinia camelliae	Eukaryota	Fungi	Ascomycetes	40.7322	42.5	0	0
Brettanomyces naardenensis	Eukaryota	Fungi	Ascomycetes	11.2831	44.5	0	0
Plasmodium brasilianum	Eukaryota	Protists	Apicomplexans	30.0899	24.8893	0	0
Caenorhabditis angaria	Eukaryota	Animals	Roundworms	79.7615	36.4	0	0
Oryza barthii	Eukaryota	Plants	Land Plants	308.272	42.0761	0	0
Nicotiana attenuata	Eukaryota	Plants	Land Plants	2365.68	41.333	39470	44491
Hypoxylon sp. E7406B	Eukaryota	Fungi	Ascomycetes	39.9013	46.5	0	0
Anisakis simplex	Eukaryota	Animals	Roundworms	126.87	37.1	0	0
Solanum melongena	Eukaryota	Plants	Land Plants	833.081	36.2	0	0
Paraphoma sp. B47-9	Eukaryota	Fungi	Ascomycetes	38.5484	52.4	0	0
Angomonas desouzai	Eukaryota	Protists	Kinetoplasts	24.2509	49.2	0	0
Melopsittacus undulatus	Eukaryota	Animals	Birds	1117.37	41.4001	14536	17079
Epichloe uncinata	Eukaryota	Fungi	Ascomycetes	53.3441	49.6	0	0
Drosophila ficusphila	Eukaryota	Animals	Insects	152.439	42	15924	23894
Sordaria macrospora	Eukaryota	Fungi	Ascomycetes	39.955	52.6	11279	10827
Halocafeteria seosinensis	Eukaryota	Protists	Other Protists	44.6208	0	0	0
Phoma herbarum	Eukaryota	Fungi	Ascomycetes	39.2636	51.7	0	0
Caenorhabditis nigoni	Eukaryota	Animals	Roundworms	137.396	38.9	0	0
Ephemera danica	Eukaryota	Animals	Insects	475.911	36	0	0
Atta colombica	Eukaryota	Animals	Insects	291.258	32.9	11134	16933
Cryptococcus gattii VGI	Eukaryota	Fungi	Basidiomycetes	17.2566	47.8	0	0
Lepeophtheirus salmonis	Eukaryota	Animals	Other Animals	665.13	30.7	0	0
Fusarium poae	Eukaryota	Fungi	Ascomycetes	46.4768	46.2	14816	14740
Picea glauca	Eukaryota	Plants	Land Plants	258.272	37.9	0	0
Stomoxys calcitrans	Eukaryota	Animals	Insects	971.189	40.3	16382	22450
Alligator sinensis	Eukaryota	Animals	Other Animals	2270.57	44.6	22098	28309
Spirometra erinaceieuropaei	Eukaryota	Animals	Flatworms	1258.72	45.3	0	0
Tauraco erythrolophus	Eukaryota	Animals	Birds	1155.54	41.6	15059	16054
Merops nubicus	Eukaryota	Animals	Birds	1062.96	41.7	14658	15431
Amyelois transitella	Eukaryota	Animals	Insects	406.468	37.6	15065	18472
Zootermopsis nevadensis	Eukaryota	Animals	Insects	485.009	38.6	15762	14610
Oryza rufipogon	Eukaryota	Plants	Land Plants	384.518	43.9	0	0
Micromonas commoda	Eukaryota	Plants	Green Algae	21.1093	63.8223	10127	10140
Protobothrops mucrosquamatus	Eukaryota	Animals	Reptiles	1673.88	40.6	21073	22660
Nicotiana tomentosiformis	Eukaryota	Plants	Land Plants	1688.47	39.0999	37153	48963
Apis mellifera	Eukaryota	Animals	Insects	250.287	34.1338	13885	22456
Selaginella kraussiana	Eukaryota	Plants	Land Plants	114.503	44.7	0	0
Ceratocystis eucalypticola	Eukaryota	Fungi	Ascomycetes	30.7179	48.1	0	0
Raphanus sativus	Eukaryota	Plants	Land Plants	402.328	38.3	0	0
Hydroides elegans	Eukaryota	Animals	Other Animals	1026.05	34.6	0	0
Ganoderma boninense	Eukaryota	Fungi	Basidiomycetes	60.3258	55.9	0	0
Pachypsylla venusta	Eukaryota	Animals	Insects	701.763	41.4	0	0
Hydatigera taeniaeformis	Eukaryota	Animals	Flatworms	103.665	43.2	0	0
Acropora digitifera	Eukaryota	Animals	Other Animals	447.497	40.4999	32351	33878
Strongyloides ratti	Eukaryota	Animals	Roundworms	43.1502	21.5777	12451	12450
Endocalyx cinctus	Eukaryota	Fungi	Ascomycetes	44.7739	45.4	0	0
Anopheles coluzzii	Eukaryota	Animals	Insects	224.417	44.7	0	0
Leucoraja erinacea	Eukaryota	Animals	Fishes	1555.46	40.3	13	13
Apiotrichum gamsii	Eukaryota	Fungi	Basidiomycetes	24.6094	61.1	0	0
Enteromyxum leei	Eukaryota	Animals	Other Animals	67.9756	33.5	0	0
Glossina pallidipes	Eukaryota	Animals	Insects	357.332	34.3	0	0
Anopheles punctulatus	Eukaryota	Animals	Insects	146.157	45.3	0	0
Mus spretus	Eukaryota	Animals	Mammals	2625.59	42.4818	0	0
Pyrus x bretschneideri	Eukaryota	Plants	Land Plants	508.551	37.5	42137	47086
Phytophthora cambivora	Eukaryota	Protists	Other Protists	230.616	52.9	0	0
Blastomyces sp. CAC-2015b	Eukaryota	Fungi	Ascomycetes	32.311	47.3	10377	10285
Nasalis larvatus	Eukaryota	Animals	Mammals	3011.97	42.2536	0	0
Herpotrichiellaceae sp. UM238	Eukaryota	Fungi	Ascomycetes	28.3643	49.8	0	0
Drosophila bipectinata	Eukaryota	Animals	Insects	167.264	41.6	15789	23478
Acanthamoeba healyi	Eukaryota	Protists	Other Protists	75.3182	58.7	0	0
Chrysochloris asiatica	Eukaryota	Animals	Mammals	4210.11	41.8	32357	25227
Microdochium bolleyi	Eukaryota	Fungi	Ascomycetes	38.835	57.1	13338	13165
Leptonychotes weddellii	Eukaryota	Animals	Mammals	3156.9	43.8	25803	25718
Priceomyces haplophilus	Eukaryota	Fungi	Ascomycetes	10.5171	41	0	0
Ara macao	Eukaryota	Animals	Birds	1204.7	42.5001	0	0
Locusta migratoria	Eukaryota	Animals	Insects	5759.8	40.7	0	0
Athalia rosae	Eukaryota	Animals	Insects	163.838	41.5	11453	19484
Equus asinus	Eukaryota	Animals	Mammals	2391.05	41.4	27227	42247
Drosophila miranda	Eukaryota	Animals	Insects	131.486	44.8	0	0
Globodera pallida	Eukaryota	Animals	Roundworms	123.625	38.7	0	0
Syphacia muris	Eukaryota	Animals	Roundworms	99.0933	31	0	0
Coturnix japonica	Eukaryota	Animals	Birds	531.96	40.5	0	0
Dermatophagoides pteronyssinus	Eukaryota	Animals	Other Animals	62.1125	0	0	0
Anas platyrhynchos	Eukaryota	Animals	Birds	1105.05	41.2001	21341	30703
Saccoglossus kowalevskii	Eukaryota	Animals	Other Animals	775.84	38.1	22086	22132
Fusarium brasiliense	Eukaryota	Fungi	Ascomycetes	49.3828	50.1	0	0
Ceratocystis manginecans	Eukaryota	Fungi	Ascomycetes	31.7061	47.9	0	0
Schizopora paradoxa	Eukaryota	Fungi	Basidiomycetes	44.4062	49.4	17171	17089
Labrus bergylta	Eukaryota	Animals	Fishes	805.481	40.9	0	0
Saccharomyces eubayanus	Eukaryota	Fungi	Ascomycetes	11.6499	40	0	0
Biomphalaria glabrata	Eukaryota	Animals	Other Animals	916.388	36.1998	28564	36675
Camponotus floridanus	Eukaryota	Animals	Insects	232.685	34.7	11904	19507
Symbiotaphrina buchneri	Eukaryota	Fungi	Ascomycetes	23.7121	51.6	0	0
Caenorhabditis tropicalis	Eukaryota	Animals	Roundworms	79.3214	38.1	0	0
Phytomonas francai	Eukaryota	Protists	Kinetoplasts	17.722	47.7	0	0
Meloidogyne hapla	Eukaryota	Animals	Roundworms	53.013	27.4	0	0
Operophtera brumata	Eukaryota	Animals	Insects	638.208	38.8	16912	16912
Apostichopus japonicus	Eukaryota	Animals	Other Animals	664.37	35.9	0	0
Pseudogymnoascus verrucosus	Eukaryota	Fungi	Ascomycetes	30.1749	50.4	10715	10573
Loxosceles reclusa	Eukaryota	Animals	Other Animals	3262.48	39.4	0	0
Physarum polycephalum	Eukaryota	Protists	Other Protists	205.176	41.9	0	0
Mochlonyx cinctipes	Eukaryota	Animals	Insects	441.264	34.8	0	0
Ascochyta rabiei	Eukaryota	Fungi	Ascomycetes	34.6583	50.7	10596	10596
Acanthaster planci	Eukaryota	Animals	Other Animals	2.58492	41.5	0	0
Chlorella vulgaris	Eukaryota	Plants	Green Algae	37.3422	61.5	0	0
Pseudogymnoascus sp. VKM F-3808	Eukaryota	Fungi	Ascomycetes	27.7789	50.5	9929	9929
Epichloe gansuensis var. inebrians E818	Eukaryota	Fungi	Ascomycetes	29.6758	47	0	0
Megaselia abdita	Eukaryota	Animals	Insects	412.271	31.4	0	0
Penstemon grinnellii	Eukaryota	Plants	Land Plants	3.66352	39.8	0	0
Actinomucor elegans	Eukaryota	Fungi	Other Fungi	34.1712	35.9	0	0
Diplonema papillatum	Eukaryota	Protists	Other Protists	107.915	0	0	0
Phytophthora multivora	Eukaryota	Protists	Other Protists	40.0622	51.9	0	0
Taiwanofungus camphoratus	Eukaryota	Fungi	Basidiomycetes	32.1556	50.6	0	0
Fragaria iinumae	Eukaryota	Plants	Land Plants	199.628	39.1	0	0
Mycosphaerella sp. Ston1	Eukaryota	Fungi	Ascomycetes	27.5099	51.2	0	0
Ovis aries	Eukaryota	Animals	Mammals	2615.52	41.9795	29110	43046
Solanum tuberosum	Eukaryota	Plants	Land Plants	90.4582	39.1	0	0
Oesophagostomum dentatum	Eukaryota	Animals	Roundworms	443.017	42.8	25508	25289
Cladophialophora carrionii	Eukaryota	Fungi	Ascomycetes	29.8059	54.0743	11240	11181
Lutzomyia longipalpis	Eukaryota	Animals	Insects	154.229	35.9	0	0
Fusarium mangiferae	Eukaryota	Fungi	Ascomycetes	46.2927	47.6	16146	15804
Dioszegia crocea	Eukaryota	Fungi	Basidiomycetes	20.5953	53.2	0	0
Haemonchus contortus	Eukaryota	Animals	Roundworms	319.758	43.4	19584	18472
Myotis davidii	Eukaryota	Animals	Mammals	2059.8	43.1	26055	33106
Drosophila mojavensis	Eukaryota	Animals	Insects	193.826	40.2	14470	20110
Anoplopoma fimbria	Eukaryota	Animals	Fishes	699.326	40.3	0	0
Oryza glumipatula	Eukaryota	Plants	Land Plants	372.86	43.7266	0	0
Drosophila grimshawi	Eukaryota	Animals	Insects	200.468	38.8	15544	14986
Sterkiella histriomuscorum	Eukaryota	Protists	Other Protists	66.3686	28.4	0	0
Ancylostoma duodenale	Eukaryota	Animals	Roundworms	332.876	42.7	27673	27483
Fusarium tucumaniae	Eukaryota	Fungi	Ascomycetes	48.3836	0	0	0
Mayetiola destructor	Eukaryota	Animals	Insects	146.853	33.5	0	0
Rhazya stricta	Eukaryota	Plants	Land Plants	274.354	32.9	0	0
Rhamphochromis esox	Eukaryota	Animals	Fishes	71.2951	42.3	0	0
Xenopus laevis	Eukaryota	Animals	Amphibians	2718.43	40.2325	36776	56817
Egretta garzetta	Eukaryota	Animals	Birds	1206.5	42.5	14431	15934
Microtus agrestis	Eukaryota	Animals	Mammals	3124.14	26.4	0	0
Fusarium langsethiae	Eukaryota	Fungi	Ascomycetes	37.543	48.3	12183	11940
Sebastes nigrocinctus	Eukaryota	Animals	Fishes	687.55	40.6	0	0
Paracoccidioides brasiliensis	Eukaryota	Fungi	Ascomycetes	29.3999	44.2	8186	8070
Penstemon cyananthus	Eukaryota	Plants	Land Plants	4.62226	36.4	0	0
Rhinopithecus roxellana	Eukaryota	Animals	Mammals	2899.55	41	28766	37291
Catharanthus roseus	Eukaryota	Plants	Land Plants	0.11552	33.1	0	0
Atkinsonella hypoxylon	Eukaryota	Fungi	Ascomycetes	35.5932	44.3	0	0
Pleurobrachia bachei	Eukaryota	Animals	Other Animals	156.122	37.6	0	0
fungal sp. EF0021	Eukaryota	Fungi	Other Fungi	44.3721	47.1	0	0
Lupinus angustifolius	Eukaryota	Plants	Land Plants	609.203	33.5664	33074	33083
Steinernema glaseri	Eukaryota	Animals	Roundworms	92.8363	47.2	0	0
Eimeria praecox	Eukaryota	Protists	Apicomplexans	60.0833	45.4	7635	7635
Trypanosoma cruzi	Eukaryota	Protists	Kinetoplasts	89.9375	51.7	23696	19607
Komagataella pastoris	Eukaryota	Fungi	Ascomycetes	9.59754	41.4761	5274	5057
Cathartes aura	Eukaryota	Animals	Birds	1152.57	41.1	11866	11361
Tricholoma matsutake	Eukaryota	Fungi	Basidiomycetes	131.719	45.3	0	0
Holcocephala fusca	Eukaryota	Animals	Insects	516.231	32.4	0	0
Epichloe bromicola	Eukaryota	Fungi	Ascomycetes	38.7752	42.3	0	0
Nestor notabilis	Eukaryota	Animals	Birds	1053.56	41.1	14860	15873
Mytilus galloprovincialis	Eukaryota	Animals	Other Animals	1622.68	31.9	0	0
Colletotrichum sublineola	Eukaryota	Fungi	Ascomycetes	46.7558	53.3	12699	12699
Onygena corvina	Eukaryota	Fungi	Ascomycetes	21.7051	48.2	0	0
Clonostachys rosea	Eukaryota	Fungi	Ascomycetes	55.1843	50.2	0	0
Colletotrichum salicis	Eukaryota	Fungi	Ascomycetes	48.3734	52.8	13783	13783
Stagonospora sp. SRC1lsM3a	Eukaryota	Fungi	Ascomycetes	36.0829	51.8	14518	14425
Mucor circinelloides	Eukaryota	Fungi	Other Fungi	36.6165	37.6	0	0
Trupanea jonesi	Eukaryota	Animals	Insects	97.2813	37.1	0	0
Anguilla anguilla	Eukaryota	Animals	Fishes	1018.7	42.9	0	0
Parascaris equorum	Eukaryota	Animals	Roundworms	185.377	41	0	0
Condylostylus patibulatus	Eukaryota	Animals	Insects	451.942	18.5	0	0
Aspergillus sclerotiorum	Eukaryota	Fungi	Ascomycetes	32.8415	51.2	0	0
Patiria miniata	Eukaryota	Animals	Other Animals	811.029	40.5	0	0
Gossypium arboreum	Eukaryota	Plants	Land Plants	1694.6	36.1993	40092	47568
Saccharomyces cerevisiae	Eukaryota	Fungi	Ascomycetes	12.168	38.461	0	0
Ustilago cynodontis	Eukaryota	Fungi	Basidiomycetes	22.5723	52.4	0	0
Equus caballus	Eukaryota	Animals	Mammals	2474.93	41.6532	26948	36064
Pygocentrus nattereri	Eukaryota	Animals	Fishes	1285.35	40.6001	28178	44364
Komagataella phaffii	Eukaryota	Fungi	Ascomycetes	9.39761	41.1816	5268	5057
Anopheles arabiensis	Eukaryota	Animals	Insects	246.568	45.3	0	0
Pantholops hodgsonii	Eukaryota	Animals	Mammals	2696.89	42.4	31808	32279
Phytophthora pinifolia	Eukaryota	Protists	Other Protists	94.6173	54.9	0	0
Golubevia pallescens	Eukaryota	Fungi	Basidiomycetes	27.7563	43.2	0	0
Leptomonas pyrrhocoris	Eukaryota	Protists	Kinetoplasts	30.3799	56.6	10130	13893
Drosophila kikkawai	Eukaryota	Animals	Insects	164.293	41.4	15840	22347
Cyprinodon variegatus	Eukaryota	Animals	Fishes	1035.18	39.5001	24878	36524
Ornithorhynchus anatinus	Eukaryota	Animals	Mammals	1995.61	45.6584	22225	24786
Pteropus alecto	Eukaryota	Animals	Mammals	1985.98	39.9	22140	33106
Amaranthus hypochondriacus	Eukaryota	Plants	Land Plants	502.148	42.2	0	0
Dioszegia aurantiaca	Eukaryota	Fungi	Basidiomycetes	19.3441	53.6	0	0
Anopheles sinensis	Eukaryota	Animals	Insects	375.764	46.7	0	0
Cutaneotrichosporon oleaginosus	Eukaryota	Fungi	Basidiomycetes	19.8356	60.7	8602	8320
Rhinolophus ferrumequinum	Eukaryota	Animals	Mammals	1926.44	40.6	0	0
Hymenolepis microstoma	Eukaryota	Animals	Flatworms	182.137	37.6	9409	12371
